question,document
Are Bluesky updates accepted for the public learning credit requirement?,dbf5369006
"If I post about the course on Bluesky, does that qualify for learning in public credit?",dbf5369006
Do Bluesky posts work as evidence for learning in public credits?,dbf5369006
Is Bluesky allowed when claiming learning in public credits for this course?,dbf5369006
"Is there a Telegram channel for LLM Zoomcamp, and what is the link?",054f3fd58f
Where can I get course announcements for LLM Zoomcamp?,054f3fd58f
Should I ask technical questions in the Telegram group or somewhere else?,054f3fd58f
What’s the official Telegram channel for the course?,054f3fd58f
Do I use Slack or Telegram for announcements and course discussion?,054f3fd58f
Why does my FAQ data count not match the number shown in the videos?,e2d595f23c
Is it normal that the dataset has a different number of records now than in the lecture?,e2d595f23c
Why do I get more or fewer FAQ entries than what the course video shows?,e2d595f23c
Has the FAQ dataset changed since the videos were recorded?,e2d595f23c
Why is the record count different when I run the FAQ code myself?,e2d595f23c
Can I still turn in homework after the deadline if the form hasn't been closed yet?,a9353fadfe
"The due date already passed, but the submission page is still open — does that mean I can submit now?",a9353fadfe
Is a late homework submission allowed as long as the form is still accepting responses?,a9353fadfe
When exactly do homework submissions stop being accepted: at the deadline or when the form closes?,a9353fadfe
"If I missed the deadline but the submission form is still open, should I go ahead and submit?",a9353fadfe
Is there any way to submit homework after the form deadline has passed?,cdc3b285e5
Do you ever give deadline extensions for homework in this course?,cdc3b285e5
"If I miss one homework, will that stop me from getting the certificate?",cdc3b285e5
"Can I still turn in homework while the form is open, even if the deadline time already passed?",cdc3b285e5
"Does skipping a homework affect my certificate, or only my leaderboard score?",cdc3b285e5
Is the name I enter for the certificate ever made public or shared with anyone else?,651ba06b34
What name shows up on the course leaderboard — is it the same as the certificate name?,651ba06b34
Can I keep my real name off the public rankings but still use it on the certificate?,651ba06b34
Where do I change the leaderboard nickname and the certificate name in my profile?,651ba06b34
"If I set a certificate name, does it replace the random display name on the leaderboard?",651ba06b34
Why don't we use LangChain in this course from the start?,b7cdde6b25
What's the reason for building the RAG pieces by hand instead of using a framework?,b7cdde6b25
"Should I learn prompting, retrieval, indexing, and evaluation before using LangChain?",b7cdde6b25
"Is LangChain required for the module, or is it just optional later?",b7cdde6b25
"Why does the course compare learning RAG basics first to learning HTML, CSS, and JavaScript before React?",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
What does the OpenAI API Error: Insufficient credits message mean in responses.create?,f5df151c59
Is there a reason responses.create fails even though my code looks correct?,f5df151c59
How can I fix the credit-related error when using OpenAI responses.create?,f5df151c59
What should I check if OpenAI responses.create throws an insufficient credits error?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI, and what does insufficient_quota mean?",152af39a53
Do I need to pay first before using the OpenAI API in this course?,152af39a53
"I added money to my OpenAI account, but the error still shows up — what should I check next?",152af39a53
Which model should I use in responses.create if gpt-4o is not available to my account?,152af39a53
"After updating billing, do I need to create a new API key or can I keep using the old one?",152af39a53
How much money do I need to spend to start using the OpenAI API for this course?,554d0eb78b
Do I really need to put in a lot of money for OpenAI API usage in the RAG module?,554d0eb78b
"What's the minimum top-up for the OpenAI API, and is it enough for course work?",554d0eb78b
Is OpenAI API usage in this course actually expensive or just a few cents?,554d0eb78b
"If I start with a $5 recharge, will that cover the OpenAI API costs for the course?",554d0eb78b
"Do I need to pay for the OpenAI API to finish the homework, or are there free options?",85384a18e5
"Is a paid OpenAI subscription required for this course, or can I use something cheaper?",85384a18e5
"For the Module 1 RAG assignments, do I have to buy OpenAI API access?",85384a18e5
"Can I complete the course homework without spending money on OpenAI, and where are the alternatives listed?",85384a18e5
What are the OpenAI API alternatives for this course if I don’t want to pay?,85384a18e5
Why does the course recommend uv over pip and virtualenv for setup?,f81dea8f7e
"Do I have to use uv in this module, or can I just stick with pip and virtualenv?",f81dea8f7e
"What makes uv easier for managing Python versions, environments, and dependencies?",f81dea8f7e
"Is uv basically a replacement for tools like poetry, pyenv, pip-tools, and pipx?",f81dea8f7e
Why are the lessons using uv if the usual Python tools still work fine?,f81dea8f7e
"Why does my Jupyter notebook keep saying my OPENAI_API_KEY is missing, even though I set it in .env?",86d99bbf21
Do I need python-dotenv for OPENAI_API_KEY to work in a notebook?,86d99bbf21
How do I load environment variables from .env before creating the OpenAI client in Jupyter?,86d99bbf21
What’s the right way to make OPENAI_API_KEY available inside a notebook?,86d99bbf21
Could the issue be that my variable name in .env is wrong if OpenAI key isn’t found?,86d99bbf21
How do I keep my API keys out of git and still use them in Python?,233dabe430
What's the easiest way to load secrets from a .env file in my project?,233dabe430
Do I need to install anything to read OPENAI_API_KEY from a .env file?,233dabe430
"How can I set up .env for OpenAI, Groq, or Gemini keys without hardcoding them?",233dabe430
What should I put in .gitignore and how do I access those environment variables in code?,233dabe430
"Is the homework tied to the recommended model, or can I swap in OpenAI/Gemini/Groq/OpenRouter/Azure/local instead?",ee43413718
"If I use a different LLM provider, do I need to change my code for things like response format, tool schema, or tokenizer?",ee43413718
"Do I need to pay for a service to finish the homework, or is there a free option available?",ee43413718
Where can I find a list of OpenAI API alternatives that are okay to use for the course?,ee43413718
"Can I run the assignment with a local model rather than a hosted API, and will that be accepted?",ee43413718
"How can I use Google Gemini in the Module 1 notebook through the OpenAI-compatible API, and what do I need to set up first?",0ae5c221b9
What should I put in my `.env` file and client config if I want to call Gemini models from the course notebook with OpenAI-style code?,0ae5c221b9
"I’m trying to run Gemini with the old chat completions format in Module 1 — what model name, base URL, and helper function setup should I use?",0ae5c221b9
Why does the notebook code need changes when using Gemini via the OpenAI-compatible endpoint instead of the newer Responses API?,0ae5c221b9
How do I read the model output and handle tools or function calls differently when switching the Module 1 RAG notebook to Gemini?,0ae5c221b9
How do I get a Pydantic object back from Gemini if the Responses API parse method isn’t available?,341f71f28c
Is there a way to use OpenAI SDK parsing with Gemini on the OpenAI-compatible endpoint?,341f71f28c
What should I use instead of responses.parse when I want structured output from Gemini?,341f71f28c
How can I make Gemini return a list of FAQ items as Pydantic models through chat completions?,341f71f28c
Can I call chat.completions.parse with Gemini and still avoid manual JSON parsing?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the easiest way to get Ollama set up from scratch on my laptop?,1d0b969028
"After installing Ollama, what command should I run to start using Llama 3 locally?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
How do I use Ollama from Python after installing the package?,1d0b969028
How do I fix a connection refused error when I prompt my Ollama RAG in the homework?,c6fc2d4d11
My RAG setup with Ollama says connection refused — do I need to restart the server?,c6fc2d4d11
What should I run again if I stopped the notebook cell and Ollama starts failing?,c6fc2d4d11
Is there a command to bring Ollama back up when it won’t respond in Module 1?,c6fc2d4d11
"Why am I getting connection refused from Ollama, and what’s the quickest fix?",c6fc2d4d11
Why does tiktoken give me a smaller token count than the OpenAI API for the same chat prompt?,bf0403d21b
"In a chat.completions.create request, what extra tokens does OpenAI add that I don’t see in the text?",bf0403d21b
How many structural tokens are added for each chat message when OpenAI counts tokens?,bf0403d21b
Why can OpenAI’s token usage be a few tokens higher even when my prompt text looks the same?,bf0403d21b
"Do newlines, spaces, or weird Unicode characters change the token count compared to tiktoken?",bf0403d21b
How can I avoid re-exporting my API key in every new terminal for this RAG project?,8b2f5e9d04
Is there a tool like direnv that can load my .env automatically when I cd into the project?,8b2f5e9d04
What’s the easiest way to keep my OpenAI key in the project without committing it to GitHub?,8b2f5e9d04
Can I use direnv or something similar on different shells and operating systems for env vars?,8b2f5e9d04
"If I’m running Python scripts, how do I load the .env file automatically instead of setting variables by hand?",8b2f5e9d04
How do I decide the best field weights in minsearch or another search engine?,87d4ea4e08
Is there a proper way to tune search field weights instead of just guessing?,87d4ea4e08
What should I do to test different weight settings for retrieval fields?,87d4ea4e08
Do you need a labeled dataset before choosing field weights for search ranking?,87d4ea4e08
What metrics can I use to compare different field weight values in a RAG search setup?,87d4ea4e08
"What kind of cleanup should I do before using documents in RAG, like removing HTML or duplicate text?",649c280e6d
"Do I need to keep things like titles, section headings, dates, or page numbers when preparing data for retrieval?",649c280e6d
"Is JSON the best format for storing docs before chunking, or can I use something else?",649c280e6d
How should I split documents so related context stays together for RAG?,649c280e6d
"Why is metadata useful in a RAG pipeline, and what should I keep?",649c280e6d
"In GitHub Codespaces, `uv` shows a ""Failed to hardlink files"" warning — is something broken, or can I ignore it?",acf8fa5356
"Why does `uv` complain about hardlinking in Codespaces, and does the install still finish normally?",acf8fa5356
How can I stop the `uv` hardlink warning for just my current terminal session?,acf8fa5356
What do I need to add to my shell config so `uv` always uses copy mode and doesn't show this warning again?,acf8fa5356
"If `uv` can't hardlink between its cache and the project environment, what does it do instead?",acf8fa5356
My script says dotenv is not recognized — what package do I need to install?,0bed1f48da
"How do I fix the ""dotenv"" module not found error in Python?",0bed1f48da
What should I add to my project so I can use load_dotenv()?,0bed1f48da
"In llm-zoomcamp Module 1 RAG, what’s the install command for dotenv support?",0bed1f48da
Do I need python-dotenv or something else when load_dotenv() isn’t working?,0bed1f48da
Can I do the course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or is it just the easiest option to get started?",aa310de435
What tools do I need if I want to set everything up locally?,aa310de435
Am I allowed to follow the module from a local environment if I already know how to configure it?,aa310de435
"If I run the course on my machine, do I need to keep track of my setup somehow?",aa310de435
"If I keep working in Codespaces and never commit, does my code still stay somewhere?",610ccb23c0
Where is my code stored while I’m using GitHub Codespaces?,610ccb23c0
Can a Codespaces VM disappear and make me lose uncommitted changes?,610ccb23c0
"Do I really need to commit often in Codespaces, or is saving enough?",610ccb23c0
What’s the safest way to avoid losing work when using Codespaces?,610ccb23c0
Why does WSL2 say the model needs more system memory even though my PC has enough RAM?,f3dd94f323
How can I give WSL2 more RAM so the model will run?,f3dd94f323
Where do I put the .wslconfig file to increase WSL2 memory?,f3dd94f323
What should I write in .wslconfig to allocate 8GB to WSL2?,f3dd94f323
"After changing WSL2 memory, how do I restart it and check that the new RAM limit is applied?",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never connects — what should I try first?",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get it working?",830f3d2018
"Why did my setup disappear after a rebuild or a new Codespace, even though I didn’t change the repo?",830f3d2018
"Do files in `/workspaces` survive when I stop and restart a Codespace, or can they still get lost?",830f3d2018
What’s the safest way to avoid losing work when Codespaces keeps acting flaky?,830f3d2018
"Can I follow the RAG module with something other than OpenAI, like Groq or OpenRouter, if OpenAI isn’t available where I am?",c6ff9083c0
"If I want to use a different LLM provider in the course, what usually needs changing in the code besides the model name?",c6ff9083c0
"Does the Zoomcamp code work with local models too, like Ollama or vLLM, or is it only for hosted APIs?",c6ff9083c0
What are my options if my region blocks the provider used in the course — should I switch providers or just use a VPN?,c6ff9083c0
Is there a list of OpenAI-compatible or local model alternatives recommended for this course?,c6ff9083c0
What can I do in the course notebooks so I stop getting OpenAI 429 rate limit errors when looping over lots of docs?,8e21752415
"Does the OpenAI Python client retry on its own, and can I change the retry setting for transient 429s?",8e21752415
How many workers should I use in a thread pool if I want to stay under OpenAI per-minute limits during the RAG exercises?,8e21752415
Is there a good way to save embeddings or LLM outputs so rerunning a notebook doesn’t make the same API calls again?,8e21752415
"If I want to avoid rate limits or keep costs low, which model or provider should I use for the course?",8e21752415
"In agentic RAG, what exactly counts as a tool or function the model can use?",c296ea5a21
"Is there a real difference between tools and functions in this module, or are they basically the same thing?",c296ea5a21
Why would an LLM need to call a tool instead of just answering from its own context?,c296ea5a21
"Can tools in agentic RAG be things like database lookups, API calls, or calculations?",c296ea5a21
How is tool use in agentic RAG different from the usual retrieval step in basic RAG?,c296ea5a21
Which free models can I use for tool calling in this agentic RAG module?,0d74a3616f
Does Groq have any free models that already support tools or function use?,0d74a3616f
"Besides Groq, what other model providers support tool calling for development use?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my code?",0d74a3616f
Where can I find the docs for Groq tool use and supported schemas?,0d74a3616f
Why am I getting `AttributeError: 'str' object has no attribute 'output'` when I call `client.responses.create(...)` with a non-OpenAI model?,9e7b3f0c25
"Can I use OpenAI’s Responses API with models from Mistral, Groq, or Gemini, or is that only for OpenAI models?",9e7b3f0c25
What should I read from the response if I switch from `responses.create` to the chat completions API?,9e7b3f0c25
How do I change my code to work with a provider that doesn’t support `response.output`?,9e7b3f0c25
Is it okay to keep using `chat.completions` instead of the newer Responses API for the homework or a project?,9e7b3f0c25
I'm getting Error 400 in Azure OpenAI saying `tools[0].function` is missing — what am I supposed to change in my weather tool setup?,b9c7c6bb34
"For the `get_weather_tool`, what should the JSON structure look like so Azure OpenAI accepts it?",b9c7c6bb34
"Do I need to wrap the weather tool inside a `function` field, and if so, how exactly should it be written?",b9c7c6bb34
What are the required fields for the weather tool definition when using Azure OpenAI in Agentic RAG?,b9c7c6bb34
Could you show the corrected `get_weather_tool` config that fixes the missing required parameter error?,b9c7c6bb34
"Why does toyaikit give me a 404 on Groq, and what class should I use instead of the OpenAI Responses runner?",0224d980b3
How can I wire toyaikit to Groq using the OpenAI-compatible chat completions API?,0224d980b3
"Is there a toyaikit setup for Anthropic, and which runner/client pair should I use?",0224d980b3
What’s the difference between `runner.loop(prompt=...)` and `runner.run()` in toyaikit?,0224d980b3
Could an outdated model name be the reason my Anthropic or Groq request is failing with 404?,0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework listed only in the course platform, or is there also a GitHub page with it?",53f15299b6
"For the 2026 Module 1 homework, which repo folder should I open first?",53f15299b6
Do I need to check both the GitHub instructions and the course management platform for homework info?,53f15299b6
Where are the homework instructions and links for Module 1?,53f15299b6
Why am I getting an empty list back after filtering my query in the homework?,83da208a64
Could this empty result be caused by how I indexed the data?,83da208a64
Do I need to set the index settings before loading the documents?,83da208a64
Why do my filters work but the query still returns nothing?,83da208a64
What should I check first if my homework search keeps coming back empty?,83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create(), and how do I fix it?",cfb07a27d5
"Do I need to set max_output_tokens in my OpenRouter request for the Module 1 homework, and what value should I use?",cfb07a27d5
"In rag_helper.py, where should I add the token limit so OpenRouter stops rejecting the request?",cfb07a27d5
"For the ToyAIKit Q6 task, how do I pass max_output_tokens through OpenAIClient?",cfb07a27d5
"If I still see the 402 after lowering max_output_tokens, what else should I check in my .env and OpenRouter setup?",cfb07a27d5
"In the Module 1 homework, does RAG need to use the chunked docs or the full ones?",b4300adeb1
"When building the search index, should I call fit on documents or on chunks?",b4300adeb1
What does it actually mean to point RAG at the chunk index?,b4300adeb1
Why are we retrieving chunks instead of whole documents in the homework RAG pipeline?,b4300adeb1
"If I already split my data, how should the prompt get filled in for RAG?",b4300adeb1
"If my homework number is a little off from the choices, should I still pick the nearest option?",5e4ca64cb5
Why do my results sometimes not match the multiple-choice answers exactly in module 1 homework?,5e4ca64cb5
What can cause a numeric homework answer to differ slightly from the listed options?,5e4ca64cb5
"If my answer is nowhere near any of the options, what should I check first?",5e4ca64cb5
"Do the homework answers have to match the provided options exactly, or is being close enough okay?",5e4ca64cb5
Where do I check the real Module 1 homework instructions for the 2026 cohort?,7d3a2e3505
"If the homework prompt on the course page is confusing, what should I read first?",7d3a2e3505
Does Module 1 homework use the exact same dataset and tasks as the lesson?,7d3a2e3505
What’s the best way to ask for help in Slack when the homework is still not clear?,7d3a2e3505
Should I paste a screenshot or the actual code/output text when asking about homework confusion?,7d3a2e3505
How am I supposed to get token counts for the Module 1 homework if I’m using a provider other than OpenAI?,fe8fed31e6
"If my model response has usage info, which field should I look at for the input tokens or prompt tokens?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Hugging Face, or Groq in this homework?",fe8fed31e6
What should I do if my provider doesn’t give token usage in the response object?,fe8fed31e6
"For the multiple-choice questions in Module 1, how do I pick the right answer when token counts are a bit different?",fe8fed31e6
"Why is my homework repo link getting rejected with a 500 or other non-200 status, and how can I make it pass the checker?",bcdb8740ce
Do I need to make my GitHub repo public for the homework submission to work?,bcdb8740ce
"Should I submit the GitHub URL with `.git` at the end, or is that causing the error?",bcdb8740ce
How can I check if the repo link I pasted is actually accessible from outside my account?,bcdb8740ce
What are the most common reasons the submission checker can't open my homework repository URL?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people turn text into numbers this way?",69430a79a8
How do embeddings keep the meaning of words or sentences when they convert them into numerical values?,69430a79a8
Why do similar pieces of non-numerical data end up with nearby vectors in an embedding model?,69430a79a8
How is semantic similarity measured once data has been embedded into a vector space?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How do I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3.0.0 beta?",aa3f597424
What should I install if I want to suppress the sentence-transformers warning for this model?,aa3f597424
"Is upgrading sentence-transformers the way to remove the ""made on v3.0.0 beta"" message?",aa3f597424
Which version of sentence-transformers do I need so this warning stops showing up?,aa3f597424
What pip command should I run to fix the multi-qa-mpnet-base-dot-v1 warning?,aa3f597424
Why did the lesson use dot product straight away for cosine similarity?,92cd22cada
"Are OpenAI embeddings already normalized, or do we need to normalize them first?",92cd22cada
"In the homework with TF-IDF and SVD, why doesn’t dot product match cosine similarity?",92cd22cada
When should I normalize vectors before comparing embeddings in vector search?,92cd22cada
"Is dot product always the same as cosine similarity, or only for unit-length vectors?",92cd22cada
"Should I embed just the answer text, just the question, or both together for vector search?",5c4a8d2e60
"In the vector search homework, is it better to index only the question field or only the answer field?",5c4a8d2e60
Why would combining question and answer in one embedding sometimes work better than using only one of them?,5c4a8d2e60
How do I decide which embedding setup gives the best results for my dataset in vector search?,5c4a8d2e60
"Does the course recommend one fixed way to build embeddings for questions and answers, or should I test different options?",5c4a8d2e60
How does cosine similarity work when comparing two vectors in text search?,db78580409
Why is cosine similarity useful for checking how similar two documents are?,db78580409
"What does it mean if cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity be used with word counts or TF-IDF vectors?,db78580409
What angle or direction between vectors is cosine similarity actually measuring?,db78580409
Why can cosine similarity be computed with a matrix multiplication once the embeddings are normalized?,95feb4e75b
"If vectors are unit length, does cosine similarity just become a dot product with the query?",95feb4e75b
Why do we normalize embeddings before comparing them in vector search?,95feb4e75b
How does using normalized vectors make similarity search faster in practice?,95feb4e75b
What is the link between cosine similarity and the dot product in this case?,95feb4e75b
"For Module 2, do I have to make a brand-new GitHub repo, or can I just spin up another codespace from the repo I already have?",1e829a8c6f
Why does the course recommend a separate codespace for the vector search module instead of reusing the one from Module 1?,1e829a8c6f
"If I create a Module 2 codespace and then delete it later, will I lose my code unless I pushed it first?",1e829a8c6f
"Is a codespace basically just the environment for the module, not a whole new repository?",1e829a8c6f
How should I organize Module 2 setup if the dependencies are pretty heavy and I want to keep Module 1 clean?,1e829a8c6f
Why does download.py get stuck at 0% when trying to fetch model.onnx from HuggingFace?,29b69fbe0b
What should I do if the model download from HuggingFace never moves past 0%?,29b69fbe0b
Is there a way to avoid the slow download in download.py for model.onnx?,29b69fbe0b
Can I manually download model.onnx and put it somewhere so the script stops retrying?,29b69fbe0b
Why does the script keep trying to download the file even after I already have it locally?,29b69fbe0b
Why do the dot-product scores from a matrix multiply and a Python loop not match exactly?,e889793af9
Is it normal for `X.dot(v_query)` and the loop version to differ by a tiny bit?,e889793af9
"Why can `np.allclose(scores, scores_loop)` return False even though both methods do the same vector search?",e889793af9
What's causing the last few decimals to change between the fast BLAS version and the manual loop?,e889793af9
How should I compare the two vector search implementations without expecting an exact equality?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in vector search?,1a7b27c4df
What causes the best chunk lookup to fail with list index out of range?,1a7b27c4df
How do I fix the mismatch between embeddings and document chunks in my code?,1a7b27c4df
Should the number of embeddings always be the same as the number of chunks?,1a7b27c4df
What is the right way to create embeddings from chunks so I don't get this error?,1a7b27c4df
Why doesn’t my Q2 cosine similarity match any multiple-choice answer in Module 2 homework?,eaa17a9dc6
"Do I need to use the same embedding model as the homework, or can I use sentence-transformers?",eaa17a9dc6
"Which field should I embed for the page vectors in Q2, the content text or something else?",eaa17a9dc6
"Is the dot product from the ONNX Embedder already the cosine similarity, or do I need to normalize it first?",eaa17a9dc6
What should I do if my cosine score is still a little different from every option even after using the right setup?,eaa17a9dc6
How do I set up Gemini so Kestra can actually use the API key in the flows?,3860e5fe8b
"Do I need both the normal Gemini key and the SECRET_GEMINI_API_KEY version, or is one enough?",3860e5fe8b
What’s the right way to add OpenAI and Tavily keys for the Kestra orchestration module?,3860e5fe8b
Why is Kestra expecting the API keys as base64 under SECRET_ variables instead of plain text?,3860e5fe8b
"After exporting the keys in my shell, do I need to restart Kestra for the changes to show up?",3860e5fe8b
"Why does Kestra Copilot keep saying it can only help make flows, and what am I missing in the setup?",04440cab11
Do I need to set a different Gemini variable for the AI Copilot than the one used by the flows?,04440cab11
"I already have a Gemini secret for the flows, so why is the Copilot still refusing to help?",04440cab11
What’s the right way to export the Gemini API key before restarting Kestra with Docker Compose?,04440cab11
"Could the Copilot error be caused by a bad key, missing env var, or Gemini quota limit instead of a config bug?",04440cab11
"My Kestra flow says the Gemini key is missing or invalid, even though I exported SECRET_GEMINI_API_KEY. What am I doing wrong?",c8ca21af33
Could a bad base64 encode be the reason my secret auth fails in Kestra?,c8ca21af33
Do I need to restart Kestra after setting the API key in the shell?,c8ca21af33
"In a Kestra flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY inside the secret function?",c8ca21af33
Is there a better way to load these keys for Kestra than exporting them every time in the terminal?,c8ca21af33
Why do we need an orchestrator like Kestra if I can already run everything in a notebook?,193612db63
What problems does Kestra solve that a simple Python script or notebook doesn’t handle well?,193612db63
"Is Kestra just for scheduling jobs, or does it help with retries, monitoring, and secrets too?",193612db63
Why is the course using Kestra for the AI part instead of only teaching notebook-based workflows?,193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers in a Kestra flow without rewriting the whole thing?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for Module 3?",cce328db64
"For the capstone project, can I skip Kestra and just use Airflow, Prefect, Dagster, or plain Python?",cce328db64
"If I build the ingestion pipeline with a notebook instead of a script, do I still get full points?",cce328db64
Why does the course teach Kestra in Module 3 if other orchestrators do the same scheduling and retries?,cce328db64
"Can I switch AI providers in a Kestra flow, like from OpenAI to Gemini or Anthropic, without rewriting the flow?",cce328db64
"Does Kestra only work with Gemini, or can I switch to OpenAI-compatible providers like Groq or even a local Ollama model?",f442efe5b4
"If I want to use a local model in Kestra, do I need a special setup or can I just swap the provider block?",f442efe5b4
"What AI providers are supported in Kestra besides Gemini, and where can I see the full list?",f442efe5b4
"Why does the course use Gemini if Kestra supports other providers like Groq, xAI, or Anthropic?",f442efe5b4
"What’s the difference between Kestra’s generic AI plugin and the provider-specific plugins, and when should I use each one?",f442efe5b4
"Is there a way to build a Kestra flow without writing YAML by hand, like some kind of form or no-code editor?",bfe5502c30
Does Kestra have an AI helper that can create a workflow from a plain English prompt and then let me refine it afterward?,bfe5502c30
Can I generate Kestra flows from my editor with tools like Claude Code or Codex instead of using the Kestra UI?,bfe5502c30
How is Kestra different from Airflow when it comes to keeping the script itself separate from the workflow definition?,bfe5502c30
"For really simple automations, would something like Zapier or n8n be easier than Kestra, and what does Kestra do better in more complex cases?",bfe5502c30
Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name instead of the real ones?,93a3e8b98c
How do I make sure the Kestra flow YAML I generate matches the plugin docs for my version?,93a3e8b98c
Is there a reason the GCS Upload block uses to instead of separate bucket and name fields?,93a3e8b98c
"For LoadFromGcs in Kestra, why is destinationTable used instead of projectId, dataset, and table?",93a3e8b98c
What’s the safest way to check if an AI-generated Kestra flow will actually parse and run in my environment?,93a3e8b98c
Why do we keep track of token usage in Kestra flows?,a4adc70f41
How does monitoring tokens help avoid surprise bills when running LLM jobs on a schedule?,a4adc70f41
