question,answer_llm,answer_orig,document
"Do I have to start the course on a specific date, or can I jump in anytime?","You can start whenever you want. The videos, GitHub materials, and homework deadlines are available, so you don’t need to begin on a specific date.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"After I finish the videos and notebooks, what’s the next step for homework submission?","After you finish the videos and notebooks, the next step is to read the homework instructions on GitHub and then submit your answers through the course platform before the deadline.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or is it a bit different?","It’s a bit different.

The homework generally follows the lesson workflow, but it usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I can’t find myself on the leaderboard — how do I jump to my own entry?,"Click the **“Jump to your record on the leaderboard”** link — that takes you directly to your entry.

If you want to see or change the name shown there, use **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why does my leaderboard name look random, and can I change that display name?","Your leaderboard name looks random because the course automatically assigns a random public nickname by default, such as “Lucid Elbakyan.”

Yes, you can change it. In **Edit Course Profile**:

- **First field:** your public display name / leaderboard nickname
- **Second field:** your official name for the certificate

So if you want, you can replace the random nickname with any nickname you prefer.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where do I check what name is being shown for me in the course leaderboard?,"Click **“Edit Course Profile”**.  
The **first field** is your public **nickname/display name** shown on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want a different nickname on the leaderboard, which profile field should I edit?",Edit the **first field** in **Edit Course Profile** — that’s your **nickname/display name** shown on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I make sure my certificate shows my real name instead of the default random one?,"Go to **Edit Course Profile** and set the **second field** to your **official real name** as it appears on your ID/passport. That is the name that will appear on your certificate.

The **first field** is only for your public leaderboard nickname and can stay random or be changed separately.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I just go through the course on my own and still get the certificate, or do I have to join a live cohort?","You can work through the course on your own, but **you will only get the certificate if you finish with a live cohort**.

You may prepare in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I study the material self-paced and build the project later, can I still qualify for the certificate?","Yes — you can study the material in self-paced mode and prepare the project later, but to qualify for the certificate, you must submit the capstone project and complete the required peer reviews while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
What do I actually need to complete to earn the certificate for this course?,"To earn the certificate, you need to:

- Finish the course with a **live cohort**
- **Complete the capstone project**
- **Complete the required peer reviews**

You **do not** need to complete the homework for the certificate.

You can work through the course materials in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting submissions**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Are homework assignments part of the certificate requirements, or is the capstone project enough?","Homework assignments are **not** part of the certificate requirements. The **capstone project** is required, along with the **required peer reviews** and finishing the course with a **live cohort**. Homework is optional, though recommended.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Can I prepare everything in advance, and then submit the project and do peer reviews when the live cohort is open?","Yes — you can work through the material and prepare your capstone project in advance in self-paced mode.

But the actual **project submission and peer reviews must be done while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I skipped the first homework, am I still eligible for the certificate?",Yes. Skipping the first homework does not prevent you from getting the certificate. You only need to pass the Capstone project to receive it; homework is recommended but not mandatory.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do all the homework to get the course certificate?,"No. Homework is not required to get the course certificate.

To receive the certificate, you need to:
- finish the course with a live cohort,
- complete the capstone project,
- and finish the required peer reviews.

Homework is recommended, but it is not mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is the Capstone project enough for earning the certificate, even if I missed homework?","Yes. Missing homework does **not** prevent you from getting the certificate.

What matters is that you:
- **pass the Capstone project**
- **complete the required peer reviews**
- do this while a **live cohort** is accepting submissions

Homework is **not mandatory** for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework assignments required, or are they just for practice and leaderboard points?","Homework assignments are **not required**. They’re mainly for **practice**, and the points you earn from them count toward your **leaderboard rank**. You can still get the certificate by **passing the Capstone project**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I need to pass in order to receive the certificate?,"To receive the certificate, you need to:

- finish a **capstone project**
- complete the **required peer reviews**

Homework is **not required**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does this homework keep changing after I start it?,"If the homework title contains **`[DRAFT]`**, it means the homework is **not ready yet**. Until it’s ready, the content can still change.

The homework is only ready when **both** are true:
- the homework form is open on the course management platform
- the homework title does **not** contain `[DRAFT]`

So if you start early, you’re working on it at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when the homework title has [DRAFT] in it?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if the assignment is actually ready to do?,"The assignment is ready only when **both** of these are true:

- The homework form is **open** on the course management platform.
- The homework title **does not contain** `[DRAFT]`.

If either one is not true, it’s still not ready and the content may change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework before it’s officially open?,"Yes — but only at your own risk.

The homework is considered ready only when:
- the homework form is open, and
- the title does not contain `[DRAFT]`.

Until then, the content may still change, so working on it early can be different from the final version.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the final homework version still be different even if I already saw it once?,"Yes — the final homework content can still change even if you already saw it once.

It’s only considered ready when both are true:

- the homework form is open, and
- the homework title does **not** contain `[DRAFT]`

Until then, the content can still change, so anything you saw earlier may not be the final version.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next llm-zoomcamp session starting?,I don't know.,Summer 2027.,bd31146b0e
Do you know when this course will be offered again?,The course will be offered again in **Summer 2027**.,Summer 2027.,bd31146b0e
What’s the next run date for the course?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a plan for the course to come back in summer 2027?,Yes — the course is planned to come back in **summer 2027**.,Summer 2027.,bd31146b0e
When can students expect the next offering of this course?,Summer 2027.,Summer 2027.,bd31146b0e
Where do I find the course lectures and video links?,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders there — each lesson page has the relevant video links at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place to start if I want the lesson videos?,"Yes — the main place to start is the **LLM Zoomcamp GitHub repository**.

Open the lesson folders there, and each lesson page has the relevant videos linked at the top. If you’re unsure, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I can’t find the recordings for each lesson — where are they posted?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the relevant **lesson folder**, and each lesson page has the **video recordings linked at the top**.

If you’re unsure, check the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to get the latest course videos?,"Use the **GitHub repo** as the main source. It’s easier to keep updated than the YouTube playlist, so when in doubt, follow the repo first.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"On the course site, where are the videos linked for each lesson?",The videos for each lesson are linked at the top of each lesson page in the LLM Zoomcamp GitHub repository.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and all the deadlines?,"Check the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where the syllabus, homework, deadlines, and progress tracking are listed.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a single place to follow the course progress and homework for this zoomcamp?,"Yes — the **LLM Zoomcamp course management platform** is the single place to follow the course syllabus, deadlines, homework, and progress:

https://courses.datatalks.club/llm-zoomcamp-2026/

You should still use the **docs** and **GitHub repo** for lessons and homework instructions, but the platform is where you track progress and submit homework.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use to keep track of the current cohort structure and assignments?,"Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure**, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I see the deadlines and progress updates for LLM Zoomcamp in one place?,"Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It has the **deadlines, homework, current cohort structure, and progress tracking** all in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Where is the course management site for this Zoomcamp, like for the other DataTalks.Club courses?","The course management site is:

https://courses.datatalks.club/llm-zoomcamp-2026/

It has the syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does this course have live sessions for every module, or are the lessons just recorded?","There are **no separate live sessions for every module by default**. The module lessons are **pre-recorded and available in the course repo**.

Live sessions, when they happen, are **announced separately**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"How do I get help if I’m stuck on a module—should I use Slack, or are there office hours?","Use Slack if you’re stuck on a module. There aren’t separate office hours for every module by default, and module materials are pre-recorded.

If live sessions happen, they’re announced separately. For extra support, there’s also an optional paid community called AI Shipping Labs that includes regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are the live meetings for the course scheduled in advance somewhere, or only announced when they happen?",Live sessions are **announced separately when they happen**. They are not scheduled as separate live sessions for each module by default.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
What’s the best way to ask questions in Slack so I don’t do it wrong?,"Use the Slack question guidelines and include the relevant text output, not screenshots.

A good rule from the course context is:
- first check the GitHub homework instructions,
- if it’s still unclear, ask in Slack,
- include code or command output as text,
- follow the asking questions guidelines here: https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/

If you want, I can also help you draft a Slack question in the right format.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
