question,document,score,reasoning
"Are the live meetings for the course scheduled in advance somewhere, or only announced when they happen?",d65e05bd7a,good,"The AI answer captures the core point: there are no default live sessions for each module, and live sessions are announced separately when they happen. It omits the extra support note and Slack guidance, but those are not required to answer the question."
What’s the best way to ask questions in Slack so I don’t do it wrong?,d65e05bd7a,bad,"The AI answer does include the key part relevant to the question: it tells the student to ask in Slack and to follow the asking questions guidelines. However, it adds specific advice about including text output instead of screenshots and checking GitHub homework instructions first, which is not in the ground truth. More importantly, it omits the original answer’s main contextual points about there being no separate live sessions by default and that live sessions are announced separately, as well as the optional AI Shipping Labs support. Since the question is specifically about the best way to ask questions in Slack, the core guideline is present, so the answer is mostly aligned, but it is incomplete relative to the original."
Is there any paid option with regular Zoom office hours and extra support for this course?,d65e05bd7a,good,"The AI answer captures the key point: there is an optional paid community, AI Shipping Labs, that provides regular Zoom office hours and extra support, while the main course stays free. It omits some details about no separate live sessions by default and Slack guidance, but those are not necessary for answering the question."
Can I count Bluesky posts toward my learning in public credits?,dbf5369006,good,The AI answer exactly matches the ground truth and preserves the key information that Bluesky posts can count toward learning in public credits.
Are Bluesky updates accepted for the public learning credit requirement?,dbf5369006,good,"The AI answer matches the ground truth exactly in meaning: it clearly says Bluesky posts can be used for learning in public credits, which answers the question about the public learning credit requirement."
"If I post about the course on Bluesky, does that qualify for learning in public credit?",dbf5369006,good,The AI answer exactly matches the ground truth and conveys the same meaning: Bluesky posts qualify for learning in public credit.
Do Bluesky posts work as evidence for learning in public credits?,dbf5369006,good,The AI answer matches the ground truth exactly and preserves the key information that Bluesky posts are acceptable evidence for learning in public credits.
Is Bluesky allowed when claiming learning in public credits for this course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it affirms that Bluesky posts are allowed for learning in public credits for this course. No key information is missing or contradicted.
"Is there a Telegram channel for LLM Zoomcamp, and what is the link?",054f3fd58f,good,"The AI answer matches the ground truth exactly in meaning: it provides the Telegram channel link and notes it is for announcements, while technical discussion should go to the course Slack channel."
Where can I get course announcements for LLM Zoomcamp?,054f3fd58f,good,"The AI answer correctly states where to get course announcements for LLM Zoomcamp and provides the correct Telegram channel link. It matches the ground truth key information. It omits the note about using Slack for technical discussion, but that was extra information not required to answer the question."
Should I ask technical questions in the Telegram group or somewhere else?,054f3fd58f,good,"The AI answer matches the ground truth: Telegram is for announcements, and technical discussion/questions should go to the course Slack channel. It preserves the key information accurately."
What’s the official Telegram channel for the course?,054f3fd58f,good,"The AI answer correctly identifies the official Telegram channel as https://t.me/llm_zoomcamp. It omits the additional note about using it for announcements and Slack for technical discussion, but the core answer is correct and complete for the question asked."
Do I use Slack or Telegram for announcements and course discussion?,054f3fd58f,good,"The AI answer matches the ground truth: Telegram is for announcements, and Slack is for technical discussion and questions. It omits the specific Telegram channel link, but that is not required to preserve the core meaning."
Why does my FAQ data count not match the number shown in the videos?,e2d595f23c,good,"The AI answer preserves the key point: the FAQ dataset is live and changes over time, and the videos were recorded in May 2026 so the count may differ from what is currently seen. This is semantically equivalent to the ground truth."
Is it normal that the dataset has a different number of records now than in the lecture?,e2d595f23c,good,"The AI answer preserves the key point: the dataset comes from a live source that changes over time, and the lecture videos were recorded in May 2026, so the record count may differ now. This is semantically equivalent to the ground truth."
Why do I get more or fewer FAQ entries than what the course video shows?,e2d595f23c,good,"The AI answer preserves the full meaning of the ground truth: it explains that the FAQ dataset is live and changes over time, and that the videos were recorded in May 2026 so the count may differ when running the code now. This is semantically equivalent."
Has the FAQ dataset changed since the videos were recorded?,e2d595f23c,good,"The AI answer conveys the same core idea as the ground truth: the FAQ dataset is live, changes over time, and differs from what was seen in the recorded videos. It also includes the important detail that new questions are added and old ones are deleted. It omits the specific note about May 2026 and the count being different, but that is not essential to the question asked."
Why is the record count different when I run the FAQ code myself?,e2d595f23c,good,"The AI answer preserves the key points from the ground truth: the FAQ dataset is live, it changes over time with additions and deletions, and the videos were recorded in May 2026 so counts may differ later. This is semantically equivalent."
Can I still turn in homework after the deadline if the form hasn't been closed yet?,a9353fadfe,good,"The AI answer matches the ground truth: it says submissions are allowed after the deadline if the form remains open, and disallowed once closed. This preserves the key point and wording differences are insignificant."
"The due date already passed, but the submission page is still open — does that mean I can submit now?",a9353fadfe,good,"The AI answer preserves the key point of the ground truth: submission is still allowed after the due date if the form remains open. It omits the extra clarification that submission is no longer possible only once the form is closed, but that does not change the meaning."
Is a late homework submission allowed as long as the form is still accepting responses?,a9353fadfe,good,"The AI answer preserves the ground truth: late homework is allowed while the form remains open, and not allowed once the form is closed. This is semantically equivalent."
When exactly do homework submissions stop being accepted: at the deadline or when the form closes?,a9353fadfe,good,"The AI answer matches the ground truth: submissions are accepted until the form closes, even if the deadline has passed. It clearly states both conditions and preserves the key point."
"If I missed the deadline but the submission form is still open, should I go ahead and submit?",a9353fadfe,good,"The AI answer preserves the key point of the ground truth: submission is allowed after the deadline as long as the form remains open. It does not add the extra clarification about submissions being impossible only once the form is closed, but that detail is implicit and not required for semantic equivalence."
Is there any way to submit homework after the form deadline has passed?,cdc3b285e5,good,"The AI answer correctly states that submissions are allowed while the form is still open even after the listed deadline, and that once the form is closed late submissions are not accepted. This matches the core of the ground truth. It omits the extra note about certificate/leaderboard impact, but that is not needed to answer the question."
Do you ever give deadline extensions for homework in this course?,cdc3b285e5,good,"The AI answer correctly states that there are no individual deadline extensions and no late submissions once the form is closed. It omits the additional clarification that homework can still be submitted while the form is open even after the listed deadline, and the note that missing homework does not affect the certificate and only impacts leaderboard rank. However, the core answer to the question is present and correct, so it is semantically equivalent enough."
"If I miss one homework, will that stop me from getting the certificate?",cdc3b285e5,good,"The AI answer captures the main point that missing homework does not prevent earning the certificate and that homework is not mandatory. However, it adds that required peer reviews are needed, which is not stated in the ground truth, and it omits the details about no late submissions and homework points only affecting leaderboard rank. Those omissions are not fatal because the core question is about the certificate, and the key answer is preserved."
"Can I still turn in homework while the form is open, even if the deadline time already passed?",cdc3b285e5,good,"The AI answer matches the key point: submissions are allowed while the form remains open even after the deadline time has passed, and they are disallowed only once the form is closed. It omits the extra details about no individual extensions, no late submissions, and homework not affecting the certificate, but those are not necessary to answer the question asked."
"Does skipping a homework affect my certificate, or only my leaderboard score?",cdc3b285e5,good,"The AI answer captures the key point that homework does not affect the certificate and only impacts leaderboard ranking, and it correctly notes that passing the Capstone project is required. It omits the additional detail about no late submissions or deadline extensions, but that was not the core of the question."
Is the name I enter for the certificate ever made public or shared with anyone else?,651ba06b34,good,"The AI answer correctly states that the certificate name is only shown on the certificate and not published or shared. It omits the additional clarification about the separate public leaderboard nickname and how to set both fields, but that extra detail is not required to preserve the core answer."
What name shows up on the course leaderboard — is it the same as the certificate name?,651ba06b34,good,"The AI answer matches the ground truth: it states that the leaderboard uses a separate public display name/nickname rather than the certificate name, mentions the nickname can be anonymous/random, and notes both can be set separately in Edit Course Profile. This conveys the same key information without contradiction."
Can I keep my real name off the public rankings but still use it on the certificate?,651ba06b34,good,"The AI answer matches the ground truth: it says you can use a separate display name for the public leaderboard and your official name on the certificate, and that the certificate name is not published online. The original answer’s initial 'No' is only in response to the exact phrasing, but the explanatory content clearly supports the AI’s 'Yes' framing. No key information is missing."
Where do I change the leaderboard nickname and the certificate name in my profile?,651ba06b34,good,"The AI answer correctly states where to change both values and identifies which field corresponds to the leaderboard nickname and which to the certificate name. It matches the ground truth’s key information, though it omits the extra privacy explanation, which is not required for equivalence."
"If I set a certificate name, does it replace the random display name on the leaderboard?",651ba06b34,good,"The AI answer preserves the key point: setting a certificate name does not replace the leaderboard display name. It also correctly says the leaderboard uses a separate display name and mentions it can be changed in Edit Course Profile. It omits some extra detail about anonymity and the two distinct fields, but the core answer is semantically equivalent."
Why don't we use LangChain in this course from the start?,b7cdde6b25,good,"The AI answer preserves the key point: the course teaches core LLM app building blocks first before introducing a framework like LangChain, and includes the same analogy to HTML/CSS/JavaScript versus React/Angular. It is semantically equivalent to the ground truth."
What's the reason for building the RAG pieces by hand instead of using a framework?,b7cdde6b25,good,"The AI answer captures the key point of the original: building the core RAG components by hand first to learn them before using a framework, with the same HTML/CSS/JS vs React/Angular analogy. It preserves the meaning accurately and includes the essential elements."
"Should I learn prompting, retrieval, indexing, and evaluation before using LangChain?",b7cdde6b25,good,"The AI answer preserves the key message: learn prompting, retrieval, indexing, and evaluation first, and the analogy that frameworks are easier to use well once you understand the underlying building blocks. This is semantically equivalent to the original."
"Is LangChain required for the module, or is it just optional later?",b7cdde6b25,bad,"The AI answer captures the main point that LangChain is not required initially and that the course focuses on building core pieces like prompting, retrieval, indexing, and evaluation. However, it adds an unsupported claim that LangChain is 'not mandatory later either,' which goes beyond the ground truth. The original answer only says the course first builds core pieces before using frameworks, implying LangChain may be used later, not that it is unnecessary later. Because this changes the meaning, it is not fully equivalent."
"Why does the course compare learning RAG basics first to learning HTML, CSS, and JavaScript before React?",b7cdde6b25,good,"The AI answer preserves the core analogy and rationale from the ground truth: learn fundamentals first, then use the framework more effectively. It also correctly mentions the core pieces (prompting, retrieval, indexing, evaluation) and the HTML/CSS/JavaScript before React comparison. Semantically equivalent."
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59,good,"The AI answer matches the ground truth core point: the `responses.create` error occurs because the account has insufficient credits. It adds some extra billing guidance, but does not contradict the original answer and preserves the key information."
What does the OpenAI API Error: Insufficient credits message mean in responses.create?,f5df151c59,good,"The AI answer correctly explains that the error means the account lacks sufficient API credits/quota for responses.create. It adds extra detail about adding funds and possibly recreating the API key, which is not contradictory to the ground truth. Semantically equivalent."
Is there a reason responses.create fails even though my code looks correct?,f5df151c59,bad,"The ground truth says responses.create can fail because of insufficient credits in the OpenAI account, showing an 'Insufficient credits' error. The AI answer instead attributes the failure mainly to max_output_tokens/OpenRouter-specific behavior and 402 errors, which is not the same issue and introduces unsupported details. It only mentions credits as a secondary check, so it misses the key point of the original answer."
How can I fix the credit-related error when using OpenAI responses.create?,f5df151c59,good,The AI answer identifies the same root cause as the ground truth: insufficient credits/quota in the OpenAI account when using responses.create. It also gives a plausible fix by adding credits. Extra details about billing and API keys do not conflict with the original answer.
What should I check if OpenAI responses.create throws an insufficient credits error?,f5df151c59,good,"The AI answer correctly identifies insufficient credits/quota as the likely cause and suggests checking account billing/credits. It adds extra suggestions about API key and model availability, but those do not contradict the core answer. The ground truth only states that the error occurs due to insufficient credits, which is conveyed here."
"Why am I getting a 429 RateLimitError from OpenAI, and what does insufficient_quota mean?",152af39a53,good,"The AI answer correctly explains that the 429 RateLimitError with insufficient_quota indicates the account has run out of billing quota/credits, not a typical temporary rate limit. It also includes the key remediation steps from the ground truth: add credits, use an available model, and possibly recreate the API key. This is semantically equivalent to the original answer."
Do I need to pay first before using the OpenAI API in this course?,152af39a53,bad,"The ground truth says there is no free usage of the OpenAI API and you need to add funds (pay-as-you-go/credit card) before it will work. The AI answer incorrectly starts with 'No' and claims you don't need to pay first to complete the course homework, which directly contradicts the key point. Although it later mentions that the OpenAI API itself has no free usage and requires funds, the initial answer is semantically misleading and not equivalent to the original response."
"I added money to my OpenAI account, but the error still shows up — what should I check next?",152af39a53,good,"The AI answer preserves the key troubleshooting steps from the ground truth: verify billing/credits on pay-as-you-go, recreate the API key after adding credits, and ensure the chosen model is available to the account. It omits the exact 429/insufficient_quota wording and the specific minimum $5 amount, but those are not essential to the semantic answer. Therefore it is equivalent."
Which model should I use in responses.create if gpt-4o is not available to my account?,152af39a53,bad,The ground truth says to use one of the models available to the account after adding credits and possibly recreating the API key; it does not provide a specific alternate model name. The AI answer 'I don't know' fails to convey the actionable guidance and does not match the ground truth's answer.
"After updating billing, do I need to create a new API key or can I keep using the old one?",152af39a53,bad,"The ground truth says you might need to recreate an API key after adding credits, but it is not mandatory; it suggests that updating billing is the primary fix. The AI answer states the opposite definitively: that you do not need a new API key and can keep using the old one. This misses the key point that recreating the key may be necessary in some cases, so it is not semantically equivalent."
How much money do I need to spend to start using the OpenAI API for this course?,554d0eb78b,good,The AI answer preserves the key information from the ground truth: starting recharge is $5 and initial usage is only fractions of a cent. It is semantically equivalent.
Do I really need to put in a lot of money for OpenAI API usage in the RAG module?,554d0eb78b,good,"The AI answer preserves the key point that OpenAI API usage should cost very little, mentions the $5 minimum recharge, and notes initial usage is fractions of a cent. It adds that free or low-cost alternatives are available, which is extra but does not contradict the ground truth. The core answer is semantically equivalent."
"What's the minimum top-up for the OpenAI API, and is it enough for course work?",554d0eb78b,good,"The AI answer matches the ground truth: it states the minimum top-up is $5 and that this is enough for course work, with the same explanation that usage is very low and initial usage is fractions of a cent."
Is OpenAI API usage in this course actually expensive or just a few cents?,554d0eb78b,good,"The AI answer includes the key point that OpenAI API usage for the course costs very little and can be fractions of a cent, and mentions the $5 recharge minimum. It adds that you do not have to pay for OpenAI at all to complete the homework, which is extra information not present in the ground truth, but it does not contradict the original answer or change the core meaning of the question about expense. Therefore it is semantically equivalent enough."
"If I start with a $5 recharge, will that cover the OpenAI API costs for the course?",554d0eb78b,good,"The AI answer matches the ground truth on the main point: OpenAI API usage for the course is very cheap, and a $5 recharge is sufficient. It also correctly mentions usage is often fractions of a cent. The extra note about not needing to pay for OpenAI API to complete homework is not in the original answer, but it does not contradict the core answer and is acceptable as additional detail."
"Do I need to pay for the OpenAI API to finish the homework, or are there free options?",85384a18e5,good,"The AI answer matches the ground truth: it says payment is not required to complete the homework and that free or low-cost alternatives are available. It also provides examples of alternatives, which is consistent with the course repo reference. The extra note that OpenAI API itself has no free usage is not contradictory. "
